Week,1,Week,2,Week,3,Week,4,Week,5,Week,6,Week,7,Week,8,Week,9,Week,10,Week,11,Week,12,Week,13,Week,14,Week,15,Week,16,Week,17
Oakland Raiders,5.861590349,Philadelphia Eagles,4.7,New York Giants,6.764348909,New York Giants,6.752455482,Carolina Panthers,6.902436315,Minnesota Vikings,6.540014153,New York Giants,6.767404634,Carolina Panthers,6.415936011,Atlanta Falcons,6.930930964,Washington Redskins,7.496076,Cleveland Browns,7.667971265,Buffalo Bills,6.295061169,Seattle Seahawks,6.703597268,Detroit Lions,7.130993895,Green Bay Packers,6.500160717,Seattle Seahawks,5.803147495,,
New York Giants,5.828993634,San Francisco 49ers,4.9,New York Jets,6.484966725,Houston Texans,6.499409258,New York Giants,6.810495447,Chicago Bears,6.438139426,Denver Broncos,6.507374858,New York Jets,6.181424087,Oakland Raiders,6.852165655,Dallas Cowboys,6.803789108,Philadelphia Eagles,7.652411648,San Francisco 49ers,5.929515666,Arizona Cardinals,6.70335411,Kansas City Chiefs,6.872854951,New York Giants,6.175325309,Tennessee Titans,5.758871192,,
San Francisco 49ers,5.771589303,Denver Broncos,6.8,Arizona Cardinals,6.474901424,Washington Redskins,6.39363426,Los Angeles Chargers,6.654666914,Detroit Lions,6.419380987,Washington Redskins,6.480967764,Washington Redskins,6.133733895,New York Jets,6.753627197,Arizona Cardinals,6.863669096,Miami Dolphins,7.590259544,New Orleans Saints,5.92868093,Atlanta Falcons,6.45538652,New Orleans Saints,6.861821706,Cleveland Browns,6.080723638,New York Jets,5.643328109,,
New York Jets,5.763866305,New Orleans Saints,3.1,Oakland Raiders,6.379667325,Oakland Raiders,6.371307228,Arizona Cardinals,6.639989208,Cleveland Browns,6.254115682,Arizona Cardinals,6.087787444,Los Angeles Chargers,5.913581294,New York Giants,6.636596877,Cincinnati Bengals,6.524314202,Dallas Cowboys,7.209819902,Indianapolis Colts,5.885115924,Minnesota Vikings,6.439462732,Philadelphia Eagles,6.792861098,Kansas City Chiefs,5.766681955,Houston Texans,5.386586604,,
New Orleans Saints,5.568898255,Indianapolis Colts,6.6,Detroit Lions,6.057049526,Buffalo Bills,5.412421859,Miami Dolphins,6.203816,San Francisco 49ers,6.144166644,New England Patriots,5.91149472,Cleveland Browns,5.832249847,Kansas City Chiefs,6.110051409,Miami Dolphins,6.080188009,Atlanta Falcons,6.375987141,New York Giants,5.877916286,Indianapolis Colts,6.292887279,Carolina Panthers,6.784642666,New England Patriots,5.518930501,Tampa Bay Buccaneers,5.220394782,,
Seattle Seahawks,5.443189249,New York Jets,4,Washington Redskins,4.947678182,Miami Dolphins,5.249007323,New England Patriots,6.018764427,Los Angeles Chargers,5.983683683,San Francisco 49ers,5.690099431,Indianapolis Colts,5.808872383,Washington Redskins,5.856504129,Houston Texans,5.832653182,New England Patriots,5.891268642,Denver Broncos,5.852096702,Cincinnati Bengals,6.077609514,New York Giants,6.406192197,Pittsburgh Steelers,5.343712942,Miami Dolphins,5.10374888,,
Tennessee Titans,5.297475695,Green Bay Packers,3.5,Cincinnati Bengals,4.858974844,Chicago Bears,5.155473681,Seattle Seahawks,5.789036739,New York Giants,5.363613924,Cleveland Browns,5.531082572,Denver Broncos,5.510989624,Miami Dolphins,5.395473375,Cleveland Browns,5.292776981,Tennessee Titans,5.591578364,Tampa Bay Buccaneers,5.161109545,Buffalo Bills,5.751638117,Washington Redskins,5.601516083,Tampa Bay Buccaneers,5.068968985,Indianapolis Colts,4.904151752,,
Kansas City Chiefs,5.278569961,Minnesota Vikings,3.8,New Orleans Saints,4.825378946,Los Angeles Rams,5.051840679,Chicago Bears,5.533573399,Oakland Raiders,5.316213217,Oakland Raiders,5.149873704,San Francisco 49ers,5.330171712,Denver Broncos,5.290549857,Atlanta Falcons,5.187636725,Washington Redskins,4.497416858,Chicago Bears,4.644740283,New York Giants,5.396949106,Oakland Raiders,4.806889624,Oakland Raiders,4.981547484,Buffalo Bills,4.897067574,,
Chicago Bears,4.579373355,Atlanta Falcons,4.5,Chicago Bears,4.643293962,Carolina Panthers,4.961319015,Tampa Bay Buccaneers,4.1367872,New York Jets,4.956035682,Green Bay Packers,4.784193071,Oakland Raiders,5.038893314,Indianapolis Colts,4.864022828,Indianapolis Colts,4.8441772,New York Giants,4.381823391,Green Bay Packers,4.297819628,Carolina Panthers,5.046012768,Atlanta Falcons,4.47026922,Cincinnati Bengals,4.070506733,Oakland Raiders,3.803816404,,
Cleveland Browns,3.760917135,Cleveland Browns,3.5,Houston Texans,3.60440593,Indianapolis Colts,4.897575678,Green Bay Packers,3.990977136,Miami Dolphins,3.653715384,Atlanta Falcons,3.992016551,Chicago Bears,4.274232179,Tampa Bay Buccaneers,4.402460751,Denver Broncos,4.616229846,Oakland Raiders,2.158558311,Miami Dolphins,2.034072884,Cleveland Browns,3.974716731,Miami Dolphins,4.004698985,New York Jets,3.221235532,Atlanta Falcons,3.769973269,,
